name,PSNR,SSIM
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_11_6_Vibration_3_0.0.PNG'], 39.56, 0.9542
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_19_16_Both_5_13.455.PNG'], 27.30, 0.7372
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_24_11_Both_7_-1.909.PNG'], 33.03, 0.8744
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_12_4_Both_1_-7.845.PNG'], 31.17, 0.8265
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_12_18_Focus_0_-9.298.PNG'], 30.92, 0.8229
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_0_9_Vibration_6_0.0.PNG'], 39.71, 0.9483
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_21_11_Focus_0_-1.519.PNG'], 37.98, 0.9536
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_30_17_Both_2_-8.885.PNG'], 29.16, 0.8125
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_8_17_Both_5_-9.878.PNG'], 29.49, 0.7895
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_13_10_Vibration_5_0.0.PNG'], 33.75, 0.8838
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_7_14_Focus_0_5.971.PNG'], 32.22, 0.8470
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_27_13_Focus_0_-8.686.PNG'], 30.47, 0.8051
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_7_14_Both_7_-11.402.PNG'], 27.31, 0.7357
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_29_15_Vibration_2_0.0.PNG'], 39.89, 0.9586
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_2_1_ZStack_0_4005.031.PNG'], 41.94, 0.9623
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_22_17_Both_5_-5.775.PNG'], 31.17, 0.8406
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_5_18_Vibration_4_0.0.PNG'], 35.91, 0.9214
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_30_18_Vibration_4_0.0.PNG'], 36.71, 0.9312
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_4_0_Both_0_-11.951.PNG'], 33.44, 0.8761
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_21_11_Vibration_3_0.0.PNG'], 39.38, 0.9536
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_17_20_Both_5_-4.526.PNG'], 34.92, 0.8928
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_22_17_Vibration_3_0.0.PNG'], 39.04, 0.9519
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_4_16_Focus_0_9.416.PNG'], 31.00, 0.8225
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_29_7_Focus_0_-9.959.PNG'], 23.75, 0.8562
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_5_9_Both_9_4.19.PNG'], 32.16, 0.8425
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_22_7_Both_5_-6.529.PNG'], 31.98, 0.8550
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_17_20_Both_2_4.003.PNG'], 35.85, 0.9036
['200627_EBiMA_LiB1/test/20200627_LIB1_20.0_22_7_Vibration_6_0.0.PNG'], 40.56, 0.9633
